dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
iam,jpeg_compression,10,iam_jpeg_compression,0.05638612915552159,0.28004010488971154,0.05489746529104573,0.27610674070646307
iam,jpeg_compression,6,iam_jpeg_compression,0.056903579161890205,0.280541416011106,0.05543083683607184,0.27660805182785747
iam,jpeg_compression,3,iam_jpeg_compression,0.05976945612023946,0.28435909301249424,0.05814545917717488,0.28023291685947865
iam,jpeg_compression,1,iam_jpeg_compression,0.06072474843968921,0.2852845904673762,0.059084829957967135,0.2811584143143606
catmus,awgn,50,CATMuS_base,0.16244059733818061,0.4883645659253192,0.15906014474186733,0.4810127418406642
catmus,awgn,100,CATMuS_base,0.3269333965027967,0.6689036996915272,0.32387443135396976,0.6637052400737165
catmus,awgn,150,CATMuS_base,0.490141454476894,0.8336426868175784,0.4872770738357562,0.8305117213044368
catmus,awgn,200,CATMuS_base,0.629085670361758,0.9506509633994095,0.6264400462168421,0.9486693396569149
catmus,awgn,250,CATMuS_base,0.744363092274149,1.0134486197990633,0.741738014319486,1.0124247808654412
catmus,blur,1.0,CATMuS_base,0.1150876718024085,0.4230106148978473,0.11168063001870912,0.41510393616529384
catmus,blur,2.0,CATMuS_base,0.17478764908073927,0.5062784445574704,0.17106758004554,0.49884735552311565
catmus,blur,3.0,CATMuS_base,0.32364117166462814,0.6605742745605749,0.3194956756312515,0.6545501383833914
catmus,blur,4.0,CATMuS_base,0.4884192002939314,0.8119637230746874,0.4845855229126279,0.8079674485273233
catmus,blur,5.0,CATMuS_base,0.6207717149058984,0.9213229320104894,0.6174238944941044,0.9190572755315706
catmus,jpeg_compression,10,CATMuS_base,0.1218642887875814,0.4329319444352703,0.11843670081362913,0.4252762713767661
catmus,jpeg_compression,6,CATMuS_base,0.1466720006188029,0.4714216829269904,0.14303895074232176,0.46401701554253555
catmus,jpeg_compression,3,CATMuS_base,0.25831516405528615,0.6061720974166231,0.2545334564493283,0.5999431934527152
catmus,jpeg_compression,1,CATMuS_base,0.30967459669037134,0.6563534159890614,0.3058735514935872,0.6509303723471012
iam,downscale,35,microsoft/trocr-base-handwritten,0.09947777353203413,0.3331019589696128,0.09740797350655968,0.32785747339194815
iam,downscale,15,microsoft/trocr-base-handwritten,0.5218204687300981,0.7305259910535246,0.5172907909820404,0.7260141909609749
catmus,none,none,CATMuS_awgn,0.13519393186399872,0.4349532006526148,0.13091186409541167,0.42577828272486473
catmus,awgn,50,CATMuS_awgn,0.11925129682718479,0.4105329907326063,0.11527983911124433,0.4013052295050564
catmus,awgn,100,CATMuS_awgn,0.14597947314733795,0.4443659134294641,0.14209745178896888,0.4360761207733617
catmus,awgn,150,CATMuS_awgn,0.21034343561307414,0.5226268404330509,0.20667050195551387,0.5154533624852203
catmus,awgn,200,CATMuS_awgn,0.29987043814146414,0.6156971022055472,0.29614070031085177,0.6100560799519126
catmus,awgn,250,CATMuS_awgn,0.396927015097824,0.7083710392295447,0.3932371610482908,0.7038793587465569
catmus,none,none,CATMuS_blur,0.10563400708722703,0.39546604487717235,0.10212423435226323,0.3867402949977211
catmus,blur,1.0,CATMuS_blur,0.09963089373510402,0.3840122596455536,0.09614045859096644,0.37518742857897763
catmus,blur,2.0,CATMuS_blur,0.10629873677187927,0.3936429510340773,0.10283609941455443,0.38493701739205105
catmus,blur,3.0,CATMuS_blur,0.14028213545015494,0.44079899069297385,0.13670709834615255,0.433017814797445
catmus,blur,4.0,CATMuS_blur,0.2091106641979009,0.5231750896684744,0.2055356270938985,0.5163583039942929
catmus,blur,5.0,CATMuS_blur,0.29395192674920595,0.6105382750625863,0.29013758695872877,0.6048972528089517
catmus,none,none,CATMuS_jpeg_compression,0.10013487969601308,0.38424344908217795,0.09651995881093153,0.37521385022887754
catmus,jpeg_compression,10,CATMuS_jpeg_compression,0.10692599987430566,0.39621245648684533,0.10327361240699827,0.3873413875329445
catmus,jpeg_compression,6,CATMuS_jpeg_compression,0.11665764245761442,0.4107179422819058,0.11301734098457343,0.40218374936422907
catmus,jpeg_compression,3,CATMuS_jpeg_compression,0.16538837133975665,0.4803257789432661,0.1618362976248604,0.47307303604573586
catmus,jpeg_compression,1,CATMuS_jpeg_compression,0.19238123093434403,0.5111466335515321,0.18876389285040923,0.5043100316399257
catmus,none,none,CATMuS_base,0.10822524425794412,0.4096478654609587,0.10492335062436246,0.40177421379078015
iam,downscale,30,microsoft/trocr-base-handwritten,0.12161667303528213,0.3574733919481721,0.11930804992994523,0.3515733456732994
iam,downscale,25,microsoft/trocr-base-handwritten,0.17446822060883962,0.4109979947555144,0.17171379442109286,0.40548357242017585
iam,downscale,20,microsoft/trocr-base-handwritten,0.27635014647815564,0.5098719728520746,0.2733330149025602,0.5057843590930124
iam,downscale,35,iam_awgn,0.06953732008661317,0.2995141138361869,0.0677302254489874,0.2947709393799167
iam,downscale,30,iam_awgn,0.07870016558400204,0.3127795773561623,0.0767020124824863,0.307573654172451
iam,downscale,25,iam_awgn,0.10907846134250414,0.34659879685330863,0.106745955929181,0.34123862409378375
iam,downscale,20,iam_awgn,0.1761240606292192,0.41732222736387475,0.1738472806011973,0.41223199136202376
iam,downscale,15,iam_awgn,0.3641653929435741,0.6043498380379454,0.36011336135524136,0.5981412926114453
iam,downscale,35,iam_blur,0.07203700165584002,0.3014807959278112,0.07047669086740542,0.2975859941385161
iam,downscale,30,iam_blur,0.08493344796841167,0.31806262532778035,0.08302286332951217,0.3131652012956964
iam,downscale,25,iam_blur,0.11671283912877341,0.35442696282585223,0.11464303910329894,0.3494909763998149
iam,downscale,20,iam_blur,0.1839096930327347,0.4248804565787444,0.1815851483887403,0.4204843436680549
iam,downscale,15,iam_blur,0.33892179340211437,0.5761992904519513,0.3355384664373965,0.5708776800863797
iam,downscale,35,iam_jpeg_compression,0.0642115654056808,0.29041338886318063,0.06265125461724622,0.2864414622859787
iam,downscale,30,iam_jpeg_compression,0.07289676474334479,0.3024448557766466,0.07108967010571901,0.2977016813203764
iam,downscale,25,iam_jpeg_compression,0.09724875811998472,0.3311352768779886,0.09513915424786651,0.3262378528459047
iam,downscale,20,iam_jpeg_compression,0.15026748184944594,0.38762918401974394,0.14799866259075278,0.38300169674533396
iam,downscale,15,iam_jpeg_compression,0.31275474461851993,0.5533317908375752,0.3093475353458158,0.5479330556840969
iam,downscale,35,iam_downscale,0.06308909693032734,0.28813820761992903,0.061640236912495226,0.2843205306185408
iam,downscale,30,iam_downscale,0.06780983314227487,0.29585068641061235,0.06622564004585403,0.29211013419713094
iam,downscale,25,iam_downscale,0.08021271175646415,0.3102730217491902,0.07848522481212585,0.30595403362640755
iam,downscale,20,iam_downscale,0.11612374219844605,0.35284590467376215,0.11414947140491657,0.3481798550053987
iam,downscale,15,iam_downscale,0.23149917207998982,0.4751658182939997,0.2287606674309005,0.4698442079284282
iam,none,none,iam_downscale,0.057596166093491274,0.28142835107203457,0.05613138453700166,0.27745642449483265
iam,awgn,50,iam_downscale,0.05956247611769201,0.2841662810427271,0.057954400713284934,0.27977016813203764
iam,awgn,100,iam_downscale,0.0715673162654439,0.3003624865031621,0.06983982932110559,0.2958892488045658
iam,awgn,150,iam_downscale,0.09755126735447714,0.33182939996915006,0.09546554579034518,0.3267777263612525
iam,awgn,200,iam_downscale,0.14438447331550122,0.3852768779885855,0.1418051840529869,0.3793382693197594
iam,awgn,250,iam_downscale,0.21815692268500828,0.4658337189572729,0.21489300726022162,0.45950948634891253
iam,blur,1.0,iam_downscale,0.05799420455992867,0.2818910997994756,0.05655330531142529,0.2779962980101805
iam,blur,2.0,iam_downscale,0.06295376385173863,0.2887937683171371,0.06149694306457776,0.2848218417399352
iam,blur,3.0,iam_downscale,0.0740112724493695,0.30441153786827085,0.07237931473697617,0.2998997377757211
iam,blur,4.0,iam_downscale,0.10087886893389378,0.33799938300169674,0.09886479429372054,0.3332176461514731
iam,blur,5.0,iam_downscale,0.15760731117055152,0.3993135893876292,0.15509170806266717,0.3941847909918248
iam,jpeg_compression,10,iam_downscale,0.05808973379187365,0.2813126638901743,0.056648834543370274,0.2775335492827395
iam,jpeg_compression,6,iam_downscale,0.05898930072602216,0.28324078358784516,0.05758024455483378,0.27942310658645686
iam,jpeg_compression,3,iam_downscale,0.06144917844860527,0.2864414622859787,0.05986498535218444,0.28231528613296314
iam,jpeg_compression,1,iam_downscale,0.06280250923449242,0.2875597717106278,0.061210355368742836,0.28354928273947244
rimes,downscale,35,RIMES-base,0.06741700450769711,0.17556304309274695,0.06458197488163751,0.1688242596205001
rimes,downscale,30,RIMES-base,0.08882147818444702,0.2170597623692144,0.08592974796586625,0.20890228763965243
rimes,downscale,25,RIMES-base,0.15065347432880674,0.3128214222379855,0.14722308848127463,0.30466394750842346
rimes,downscale,20,RIMES-base,0.28341791171717745,0.48661110125908846,0.2783148583902702,0.4773896080865402
rimes,downscale,15,RIMES-base,0.5767300768293029,0.825323638943075,0.5699543560230205,0.8169888278063486
rimes,downscale,35,RIMES_awgn,0.06021602925750574,0.1606667848909381,0.05828820911178522,0.15357332860436249
rimes,downscale,30,RIMES_awgn,0.07949423071471097,0.20127682213158363,0.07643239871856661,0.19276467458769286
rimes,downscale,25,RIMES_awgn,0.14487001389164517,0.29207306259975174,0.14149632863663425,0.28409292427735416
rimes,downscale,20,RIMES_awgn,0.27709579565106457,0.4676361056924987,0.2720210926204179,0.45841461251995036
rimes,downscale,15,RIMES_awgn,0.6042865647946021,0.7889696754743749,0.5974257930995379,0.7820535555949637
rimes,downscale,35,RIMES_blur,0.05723924815014317,0.151090618904061,0.05468772148668954,0.14488384465330734
rimes,downscale,30,RIMES_blur,0.0778499135315964,0.18708990955843235,0.07524168627562158,0.18106047171484305
rimes,downscale,25,RIMES_blur,0.12910724917075383,0.26884199326121655,0.1272361296175545,0.26405391026777797
rimes,downscale,20,RIMES_blur,0.2571088367873444,0.43358751551693564,0.2534516485697276,0.4254300407873736
rimes,downscale,15,RIMES_blur,0.5628100813653503,0.7623692143997163,0.5562044623366315,0.7549210852988119
rimes,downscale,35,RIMES_jpeg_compression,0.061350041107929576,0.16190813974108884,0.059620673036033224,0.15623337471182833
rimes,downscale,30,RIMES_jpeg_compression,0.08042979049131063,0.20393686823904947,0.07753806027272984,0.19631140273098066
rimes,downscale,25,RIMES_jpeg_compression,0.1378107901227568,0.29295974463557367,0.13520256286678195,0.28568895194183364
rimes,downscale,20,RIMES_jpeg_compression,0.26365775522354207,0.45965596737010106,0.2584980013041136,0.45007980138322395
rimes,downscale,15,RIMES_jpeg_compression,0.5452612479800414,0.7625465508068806,0.5388257307288861,0.7552757581131406
rimes,none,none,RIMES_downscale,0.03637343010234457,0.10640184429863452,0.03504096617809656,0.10179109771236035
rimes,awgn,50,RIMES_downscale,0.039066708247101185,0.11544600106401845,0.03764919343407139,0.1104805816634155
rimes,awgn,100,RIMES_downscale,0.043290902389929976,0.12537683986522433,0.04153318402177303,0.120234084057457
rimes,awgn,150,RIMES_downscale,0.05471607178295013,0.1532186557900337,0.053497009043744506,0.1491399184252527
rimes,awgn,200,RIMES_downscale,0.08017463782496527,0.2035821954247207,0.07819011708672356,0.1979074303954602
rimes,awgn,250,RIMES_downscale,0.13233918294446176,0.2743394218833126,0.13012785983613528,0.2674233020039014
rimes,blur,1.0,RIMES_downscale,0.03668528336121112,0.10746586274162086,0.03532446914070252,0.10232310693385352
rimes,blur,2.0,RIMES_downscale,0.03946361239474953,0.11331796417804575,0.038556402914410454,0.10870721759177158
rimes,blur,3.0,RIMES_downscale,0.050803730898987896,0.1393864160312112,0.04918776401213393,0.13282496896612875
rimes,blur,4.0,RIMES_downscale,0.07527003657188218,0.18106047171484305,0.07345561761120403,0.17485369746408938
rimes,blur,5.0,RIMES_downscale,0.12757633317268166,0.259975172902997,0.12485470473166445,0.25252704380209257
rimes,jpeg_compression,10,RIMES_downscale,0.0368553851387747,0.10675651711296329,0.035437870325744907,0.10179109771236035
rimes,jpeg_compression,6,RIMES_downscale,0.03671363365747172,0.10622450789147012,0.03535281943696312,0.10143642489803156
rimes,jpeg_compression,3,RIMES_downscale,0.037790944915374367,0.11118992729207307,0.036458480991126356,0.10622450789147012
rimes,jpeg_compression,1,RIMES_downscale,0.0389249567657982,0.11296329136371697,0.03745074136024722,0.10746586274162086
rimes,downscale,35,RIMES_downscale,0.04482181838800216,0.12732754034403262,0.043772857426360105,0.12271679375775847
rimes,downscale,30,RIMES_downscale,0.05151248830550279,0.1413371165100195,0.05026507527003657,0.13637169710941657
rimes,downscale,25,RIMES_downscale,0.06979842939358716,0.17325766979960985,0.06874946843194511,0.1688242596205001
rimes,downscale,20,RIMES_downscale,0.1294758030221416,0.26706862918957264,0.12689592606242736,0.25926582727433944
rimes,downscale,15,RIMES_downscale,0.29036373430102347,0.47987231778684164,0.2865080940095824,0.47402021635041675
iam,none,none,iam_combo,0.05902114380333715,0.2870584605892334,0.0573175391669851,0.2831250964059849
iam,awgn,50,iam_combo,0.059944593045471915,0.2864028998920253,0.05833651764106483,0.2824695357087768
iam,awgn,100,iam_combo,0.06981594701311934,0.3005167360789758,0.0680804992994523,0.2961591855622397
iam,awgn,150,iam_combo,0.09243249267609221,0.3287444084528768,0.09039453572793275,0.32388554681474624
iam,awgn,200,iam_combo,0.1334224939498153,0.37590621625790527,0.13093873391924596,0.3703146691346599
iam,awgn,250,iam_combo,0.1993615462998344,0.44824926731451487,0.19632053241625272,0.4421564090698751
iam,blur,1.0,iam_combo,0.05975353458158197,0.2875597717106278,0.05815341994650363,0.28374209470923956
iam,blur,2.0,iam_combo,0.06238854922939753,0.29187875983341044,0.06073270920901796,0.28771402128644147
iam,blur,3.0,iam_combo,0.07097821933511654,0.3028690421101342,0.0692109285441345,0.29835724201758446
iam,blur,4.0,iam_combo,0.09139759266335498,0.32762609902822765,0.08946312571646924,0.32288292457195744
iam,blur,5.0,iam_combo,0.13950452171697872,0.3814206385932439,0.13710036937969686,0.37671602653092706
iam,jpeg_compression,10,iam_combo,0.05945898611641829,0.28632577510411844,0.05786683225066871,0.2824695357087768
iam,jpeg_compression,6,iam_combo,0.060931728442236655,0.2891793922566713,0.05933957457648707,0.28543884004318987
iam,jpeg_compression,3,iam_combo,0.06335976308750478,0.2923800709548049,0.06174372691376895,0.2882924571957427
iam,jpeg_compression,1,iam_combo,0.06589924850337536,0.2951565633194509,0.06427525156031079,0.291184636742249
iam,downscale,35,iam_combo,0.06849445930454719,0.30020823692734844,0.06677493312953764,0.29558074965293846
iam,downscale,30,iam_combo,0.07565915170042033,0.30946321147616845,0.07381225321615081,0.30491284898966525
iam,downscale,25,iam_combo,0.09557699656094765,0.33244639827240474,0.0934753534581582,0.32781891099799476
iam,downscale,20,iam_combo,0.14930422876066743,0.39221810890020053,0.14708317411794675,0.38735924726207005
iam,downscale,15,iam_combo,0.30124347216915043,0.5439996915008484,0.2979158705897338,0.5385623939534167
iam,none,none,iam_mixed,0.057444911476245065,0.2817368502236619,0.05601197299707044,0.2778034860404134
iam,awgn,50,iam_mixed,0.05876639918481722,0.2829708468301712,0.05722200993504012,0.27869042110134196
iam,awgn,100,iam_mixed,0.0669023054387976,0.2942310658645689,0.06533403388103426,0.2900663273175999
iam,awgn,150,iam_mixed,0.08330149025601834,0.3142835107203455,0.0815341994650363,0.30992596020360946
iam,awgn,200,iam_mixed,0.11412558909693032,0.34922103964214096,0.11197618137816838,0.34405367885238314
iam,awgn,250,iam_mixed,0.1592313081136161,0.40155020823692733,0.15691472423895045,0.39619003547740245
iam,blur,1.0,iam_mixed,0.05815341994650363,0.2828937220422644,0.056720481467329005,0.2788446706771556
