dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
iam,combo,1,iam_blur,0.6839574576487072,0.8770630880765078,0.6784645268118711,0.8721271016504705
iam,combo,2,iam_blur,0.06257960769328748,0.29041338886318063,0.06104317921283913,0.2862100879222582
iam,combo,3,iam_blur,0.07750605018468985,0.30888477556686716,0.07557954400713285,0.3039873515347833
iam,combo,4,iam_blur,0.07645522863329512,0.30572265926268705,0.07455260476372437,0.3007095480487429
iam,combo,5,iam_blur,0.1102327728951726,0.3487968533086534,0.10801171825245191,0.34339811815517507
iam,combo,1,iam_jpeg_compression,0.6160839383518023,0.831366651241709,0.6104158705897338,0.8253123553910227
iam,combo,2,iam_jpeg_compression,0.06898802700292957,0.29696899583526143,0.06714112851866004,0.2924957581366651
iam,combo,3,iam_jpeg_compression,0.07371672398420584,0.3032546660496684,0.07180613934530633,0.2984729291994447
iam,combo,4,iam_jpeg_compression,0.0834447841039358,0.31547894493290146,0.0813511017704751,0.3102730217491902
iam,combo,5,iam_jpeg_compression,0.1501321487708572,0.3930279191732223,0.14739364412176792,0.3864723122011414
iam,combo,1,iam_downscale,0.5239937587568463,0.7425574579669906,0.5188192586931601,0.7371587228135122
iam,combo,2,iam_downscale,0.06647242389504522,0.2940768162887552,0.0647927015666794,0.28956501619620545
iam,combo,3,iam_downscale,0.06845465545790345,0.29654480950177387,0.06684658005349638,0.29253432053061856
iam,combo,4,iam_downscale,0.07699656094764998,0.3081906524757057,0.07506209400076423,0.3032546660496684
iam,combo,5,iam_downscale,0.1277544261877468,0.3715872281351226,0.12531047000382117,0.3654943698904828
iam,combo,1,iam_combo,0.48496210673799517,0.7115532932284436,0.48035282129665013,0.705383310195897
iam,combo,2,iam_combo,0.06663960005094892,0.29766311892642294,0.06488027002929563,0.2933826931975937
iam,combo,3,iam_combo,0.06765061775569992,0.29808730525991056,0.06594701311934785,0.2938068795310813
iam,combo,4,iam_combo,0.06843873391924596,0.29924417707851303,0.06662367851229142,0.29461668980410305
iam,combo,5,iam_combo,0.09363456884473316,0.33337189572728676,0.09157272958858743,0.32855159648310966
iam,combo,1,iam_mixed,0.44996656476881924,0.6891485423415086,0.44541300471277545,0.6829785593089619
iam,combo,2,iam_mixed,0.06469717233473443,0.2924957581366651,0.06297764615972487,0.2879068332562085
iam,combo,3,iam_mixed,0.06900394854158706,0.29874286595711863,0.06723665775060501,0.293961129106895
iam,combo,4,iam_mixed,0.07522927015666794,0.3052213481412926,0.07345401859635715,0.3004781736850224
iam,combo,5,iam_mixed,0.11313049293083684,0.3526530927039951,0.11082186982549994,0.34729291994447015
iam,combo,1,microsoft/trocr-base-handwritten,1.3649773914151064,1.2885623939534165,1.3541825882053242,1.283780657103193
iam,combo,2,microsoft/trocr-base-handwritten,0.08965418418035918,0.32014499460126483,0.08752069800025475,0.3146305722659263
iam,combo,3,microsoft/trocr-base-handwritten,0.11525601834161253,0.34968378836958197,0.11301904216023437,0.3438608668826161
iam,combo,4,microsoft/trocr-base-handwritten,0.12995159852248123,0.3645303100416474,0.1275394854158706,0.35886163813049515
iam,combo,5,microsoft/trocr-base-handwritten,0.2612167239842058,0.49109208699676077,0.25788116163546043,0.4843051056609594
rimes,combo,1,RIMES_awgn,0.6182916111473364,0.7762014541585387,0.6101267258242848,0.7691079978719632
rimes,combo,2,RIMES_awgn,0.05105888356533326,0.14186912573151267,0.04825220423553426,0.13406632381627948
rimes,combo,3,RIMES_awgn,0.05834490970430641,0.15836141159780104,0.054631020894168346,0.14896258201808832
rimes,combo,4,RIMES_awgn,0.061633544070535534,0.1631494945912396,0.05834490970430641,0.15286398297570492
rimes,combo,5,RIMES_awgn,0.20264791767073967,0.3310870721759177,0.19655260397471153,0.31814151445291716
rimes,combo,1,RIMES_blur,0.7030022963739971,0.8767511970207483,0.6949224619397273,0.8719631140273099
rimes,combo,2,RIMES_blur,0.04164658520681541,0.11952473842879943,0.040569273948912764,0.11420464621386771
rimes,combo,3,RIMES_blur,0.050293425566297165,0.13849973399538926,0.049131063419612736,0.13300230537329313
rimes,combo,4,RIMES_blur,0.04876250956822499,0.13442099663060827,0.045785728460862415,0.12626352190104628
rimes,combo,5,RIMES_blur,0.09542709721316588,0.21085298811846073,0.09287557054971224,0.20234084057456997
